Year,CO2‚ RF (W/m^2),CO2 kWh,CO2 Aggregate warming,CH4‚ RF (W/m^2),CH4 kWh,CH4 Aggregate warming,N2O‚ RF (W/m^2),N2O kWh,N2O Aggregate warming,,,,,,
1975,0,4947.844152,311298.5172,0,10619.89269,7129654.78,0.0000000002541804173,1135799.094,69225266.82,,,,,,
1974,0,4898.61228,316197.1295,0,9770.772953,7139425.553,0.0000000002519605152,1125879.515,70351146.34,,,,,,
1973,0,4849.870273,321046.9998,0,8989.545082,7148415.098,0.0000000002497600007,1116046.569,71467192.91,,,,,,
1972,0,4801.613258,325848.613,0,8270.780743,7156685.879,0.0000000002475787046,1106299.499,72573492.41,,,,,,
1971,0,4753.836407,330602.4494,0,7609.485627,7164295.365,0.0000000002454164589,1096637.557,73670129.96,,,,,,
1970,0,4706.534945,335308.9844,0,7001.064749,7171296.429,0.0000000002432730974,1087059.997,74757189.96,,,,,,
1969,0,4659.70414,339968.6885,0,6441.290519,7177737.72,0.0000000002411484551,1077566.084,75834756.04,,,,,,
1968,0,4613.339309,344582.0278,0,5926.273365,7183663.993,0.0000000002390423685,1068155.087,76902911.13,,,,,,
1967,0,4567.435816,349149.4636,0,5452.434709,7189116.428,0.0000000002369546756,1058826.281,77961737.41,,,,,,
1966,0,4521.98907,353671.4527,0,5016.4821,7194132.91,0.0000000002348852157,1049578.949,79011316.36,,,,,,
1965,0,4476.994527,358148.4472,0,4615.386337,7198748.296,0.0000000002328338295,1040412.379,80051728.74,,,,,,
1964,0,4432.447687,362580.8949,0,4246.360421,7202994.657,0.0000000002308003592,1031325.866,81083054.61,,,,,,
1963,0,4388.344096,366969.239,0,3906.840188,7206901.497,0.0000000002287846484,1022318.711,82105373.32,,,,,,
1962,0,4344.679342,371313.9183,0,3594.466494,7210495.964,0.000000000226786542,1013390.22,83118763.54,,,,,,
1961,0,4301.449061,375615.3674,0,3307.068821,7213803.032,0.0000000002248058862,1004539.707,84123303.24,,,,,,
1960,0,4258.648927,379874.0163,0,3042.650198,7216845.683,0.0000000002228425285,995766.4904,85119069.73,,,,,,
1959,0,4216.274663,384090.291,0,2799.37332,7219645.056,0.000000000220896318,987069.8954,86106139.63,,,,,,
1958,0,4174.322029,388264.613,0,2575.547788,7222220.604,0.0000000002189671048,978449.2526,87084588.88,,,,,,
1957,0,4132.786831,392397.3999,0,2369.618357,7224590.222,0.0000000002170547406,969903.8989,88054492.78,,,,,,
1956,0,4091.664915,396489.0648,0,2180.154134,7226770.376,0.0000000002151590781,961433.1765,89015925.96,,,,,,
1955,0,4050.952168,400540.0169,0,2005.838634,7228776.215,0.0000000002132799715,953036.4338,89968962.39,,,,,,
1954,0,4010.644521,404550.6615,0,1845.460632,7230621.675,0.0000000002114172762,944713.0247,90913675.42,,,,,,
1953,0,3970.737941,408521.3994,0,1697.905747,7232319.581,0.0000000002095708489,936462.3086,91850137.72,,,,,,
1952,0,3931.228438,412452.6278,0,1562.148699,7233881.73,0.0000000002077405475,928283.6507,92778421.37,,,,,,
1951,0,3892.112062,416344.7399,0,1437.246185,7235318.976,0.0000000002059262311,920176.4216,93698597.8,,,,,,
1950,0,3853.3849,420198.1248,0,1322.330325,7236641.306,0.0000000002041277603,912139.9976,94610737.79,,,,,,
1949,0,3815.043079,424013.1679,0,1216.60263,7237857.909,0.0000000002023449964,904173.7603,95514911.55,,,,,,
1948,0,3777.082767,427790.2506,0,1119.328454,7238977.237,0.0000000002005778025,896277.0967,96411188.65,,,,,,
1947,0,3739.500165,431529.7508,0,1029.831893,7240007.069,0.0000000001988260425,888449.3991,97299638.05,,,,,,
1946,0,3702.291517,435232.0423,0,947.4910808,7240954.56,0.0000000001970895816,880690.0652,98180328.12,,,,,,
1945,0,3665.453101,438897.4954,0,871.7338768,7241826.294,0.0000000001953682862,872998.498,99053326.61,,,,,,
1944,0,3628.981233,442526.4767,0,802.0338844,7242628.328,0.0000000001936620238,865374.1057,99918700.72,,,,,,
1943,0,3592.872266,446119.3489,0,737.9067957,7243366.235,0.0000000001919706633,857816.3015,100776517,,,,,,
1942,0,3557.12259,449676.4715,0,678.9070259,7244045.142,0.0000000001902940743,850324.5039,101626841.5,,,,,,
1941,0,3521.728629,453198.2001,0,624.6246172,7244669.767,0.0000000001886321279,842898.1364,102469739.7,,,,,,
1940,0,3486.686843,456684.887,0,574.6823903,7245244.449,0.0000000001869846963,835536.6276,103305276.3,,,,,,
1939,0,3451.99373,460136.8807,0,528.7333234,7245773.182,0.0000000001853516526,828239.4111,104133515.7,,,,,,
1938,0,3417.645818,463554.5265,0,486.458141,7246259.641,0.0000000001837328712,821005.9253,104954521.6,,,,,,
1937,0,3383.639674,466938.1662,0,447.5630956,7246707.204,0.0000000001821282275,813835.6136,105768357.2,,,,,,
1936,0,3349.971897,470288.1381,0,411.7779263,7247118.982,0.0000000001805375981,806727.9244,106575085.2,,,,,,
1935,0,3316.63912,473604.7772,0,378.8539812,7247497.836,0.0000000001789608606,799682.3107,107374767.5,,,,,,
1934,0,3283.638009,476888.4152,0,348.5624893,7247846.398,0.0000000001773978937,792698.2303,108167465.7,,,,,,
1933,0,3250.965265,480139.3805,0,320.6929715,7248167.091,0.000000000175848577,785775.1458,108953240.8,,,,,,
1932,0,3218.61762,483357.9981,0,295.0517772,7248462.143,0.0000000001743127913,778912.5246,109732153.4,,,,,,
1931,0,3186.59184,486544.59,0,271.4607396,7248733.603,0.0000000001727904186,772109.8386,110504263.2,,,,,,
1930,0,3154.884721,489699.4747,0,249.7559373,7248983.359,0.0000000001712813416,765366.5642,111269629.8,,,,,,
1929,0,3123.493093,492822.9678,0,229.7865551,7249213.146,0.0000000001697854442,758682.1828,112028312,,,,,,
1928,0,3092.413818,495915.3816,0,211.4138366,7249424.56,0.0000000001683026114,752056.1798,112780368.1,,,,,,
1927,0,3061.643786,498977.0254,0,194.5101195,7249619.07,0.000000000166832729,745488.0455,113525856.2,,,,,,
1926,0,3031.179922,502008.2053,0,178.9579491,7249798.028,0.0000000001653756839,738977.2744,114264833.5,,,,,,
1925,0,3001.019177,505009.2245,0,164.6492615,7249962.677,0.000000000163931364,732523.3656,114997356.8,,,,,,
1924,0,2971.158538,507980.383,0,151.4846334,7250114.162,0.0000000001624996582,726125.8225,115723482.6,,,,,,
1923,0,2941.595016,510921.978,0,139.3725909,7250253.534,0.0000000001610804562,719784.1528,116443266.8,,,,,,
,,510921.978,,,,,,,,,,,,,
